city,date,fahrenheit
Bangkok,14 Feb,78
Beijing,14 Feb,30
Boston,14 Feb,28
BuenosAires,14 Feb,74
London,14 Feb,45
Madrid,14 Feb,45
Montreal,14 Feb,18
Moscow,14 Feb,28
NewDelhi,14 Feb,64
NewYork,14 Feb,35
Paris,14 Feb,46
RiodeJaneiro,14 Feb,86
SanFrancisco,14 Feb,57
Seattle,14 Feb,46
Shanghai,14 Feb,48
Singapore,14 Feb,82
Sydney,14 Feb,68
Tokyo,14 Feb,44
Toronto,14 Feb,34
Vancouver,14 Feb,44
Bangkok,15 Feb,78
Beijing,15 Feb,34
Boston,15 Feb,34
BuenosAires,15 Feb,80
London,15 Feb,48
Madrid,15 Feb,48
Montreal,15 Feb,23
Moscow,15 Feb,26
NewDelhi,15 Feb,65
NewYork,15 Feb,41
Paris,15 Feb,51
RiodeJaneiro,15 Feb,84
SanFrancisco,15 Feb,57
Seattle,15 Feb,49
Shanghai,15 Feb,50
Singapore,15 Feb,80
Sydney,15 Feb,71
Tokyo,15 Feb,44
Toronto,15 Feb,30
Vancouver,15 Feb,47
Bangkok,16 Feb,80
Beijing,16 Feb,40
Boston,16 Feb,31
BuenosAires,16 Feb,80
London,16 Feb,48
Madrid,16 Feb,48
Montreal,16 Feb,26
Moscow,16 Feb,20
NewDelhi,16 Feb,68
NewYork,16 Feb,32
Paris,16 Feb,48
RiodeJaneiro,16 Feb,83
SanFrancisco,16 Feb,60
Seattle,16 Feb,50
Shanghai,16 Feb,57
Singapore,16 Feb,82
Sydney,16 Feb,79
Tokyo,16 Feb,45
Toronto,16 Feb,21
Vancouver,16 Feb,49
Bangkok,17 Feb,80
Beijing,17 Feb,32
Boston,17 Feb,32
BuenosAires,17 Feb,78
London,17 Feb,50
Madrid,17 Feb,47
Montreal,17 Feb,21
Moscow,17 Feb,24
NewDelhi,17 Feb,70
NewYork,17 Feb,34
Paris,17 Feb,42
RiodeJaneiro,17 Feb,85
SanFrancisco,17 Feb,57
Seattle,17 Feb,49
Shanghai,17 Feb,47
Singapore,17 Feb,83
Sydney,17 Feb,81
Tokyo,17 Feb,54
Toronto,17 Feb,26
Vancouver,17 Feb,48
Bangkok,18 Feb,82
Beijing,18 Feb,34
Boston,18 Feb,38
BuenosAires,18 Feb,78
London,18 Feb,50
Madrid,18 Feb,47
Montreal,18 Feb,33
Moscow,18 Feb,34
NewDelhi,18 Feb,72
NewYork,18 Feb,49
Paris,18 Feb,42
RiodeJaneiro,18 Feb,84
SanFrancisco,18 Feb,54
Seattle,18 Feb,44
Shanghai,18 Feb,48
Singapore,18 Feb,82
Sydney,18 Feb,76
Tokyo,18 Feb,47
Toronto,18 Feb,43
Vancouver,18 Feb,41
Bangkok,19 Feb,84
Beijing,19 Feb,42
Boston,19 Feb,49
BuenosAires,19 Feb,78
London,19 Feb,48
Madrid,19 Feb,50
Montreal,19 Feb,40
Moscow,19 Feb,34
NewDelhi,19 Feb,74
NewYork,19 Feb,59
Paris,19 Feb,40
RiodeJaneiro,19 Feb,84
SanFrancisco,19 Feb,54
Seattle,19 Feb,44
Shanghai,19 Feb,54
Singapore,19 Feb,84
Sydney,19 Feb,70
Tokyo,19 Feb,43
Toronto,19 Feb,48
Vancouver,19 Feb,43
Bangkok,20 Feb,84
Beijing,20 Feb,31
Boston,20 Feb,41
BuenosAires,20 Feb,80
London,20 Feb,57
Madrid,20 Feb,48
Montreal,20 Feb,28
Moscow,20 Feb,35
NewDelhi,20 Feb,76
